id,cityId,languageId,name,description
1,1,1,San Marino,"San Marino er landets historiske hovedstad og ligger højt på Monte Titano. Byen er kendt for sine smalle middelaldergader, gamle bymure og de tre karakteristiske tårne, der ligger langs bjergets top og byder på en imponerende udsigt over landskabet."
2,1,2,San Marino,"San Marino is the historic capital of the country and is located high on Monte Titano. The city is known for its narrow medieval streets, ancient walls and three iconic towers that stand along the mountain ridge and offer impressive views of the surrounding landscape."
3,1,3,San Marino,"San Marino es la capital histórica del país y está situada en lo alto del Monte Titano. La ciudad es conocida por sus estrechas calles medievales, antiguas murallas y tres torres emblemáticas que se alzan sobre la montaña y ofrecen impresionantes vistas del paisaje."
4,2,1,Tejeda,"Tejeda er en lille bjergby midt på Gran Canaria omgivet af dramatiske klipper og vulkanske landskaber. Byen ligger i et af øens mest naturskønne områder og er et populært udgangspunkt for vandreture og oplevelser omkring blandt andet Roque Nublo."
5,2,2,Tejeda,"Tejeda is a small mountain village in central Gran Canaria surrounded by dramatic cliffs and volcanic landscapes. The village is located in one of the island's most scenic areas and is a popular starting point for hiking and exploring landmarks such as Roque Nublo."
6,2,3,Tejeda,"Tejeda es un pequeño pueblo de montaña en el centro de Gran Canaria rodeado de espectaculares acantilados y paisajes volcánicos. Está situado en una de las zonas más pintorescas de la isla y es un punto de partida popular para practicar senderismo y visitar lugares como Roque Nublo."
7,3,1,Luxembourg,"Luxembourg by er landets hovedstad og kombinerer historiske fæstningsværker med moderne europæisk storbyliv. Den gamle bydel ligger omkring dybe dale og klippeformationer, mens byen samtidig er hjemsted for flere vigtige europæiske institutioner."
8,3,2,Luxembourg,"Luxembourg City is the country's capital and combines historic fortifications with modern European city life. The old town is surrounded by deep valleys and rocky cliffs, while the city is also home to several important European institutions."
9,3,3,Luxemburgo,"La ciudad de Luxemburgo es la capital del país y combina fortificaciones históricas con una moderna vida urbana europea. El casco antiguo está rodeado de profundos valles y formaciones rocosas, mientras que la ciudad también alberga importantes instituciones europeas."
10,4,1,Le Mont-Saint-Michel,"Le Mont-Saint-Michel er en lille historisk bebyggelse på en tidevandsø ud for Normandiets kyst. Den imponerende middelalderlige klosterbygning rejser sig over de smalle gader og gamle huse, og området ændrer karakter i takt med tidevandets bevægelser."
11,4,2,Le Mont-Saint-Michel,"Le Mont-Saint-Michel is a small historic settlement on a tidal island off the coast of Normandy. Its impressive medieval abbey rises above narrow streets and old houses, while the surrounding landscape changes dramatically with the movement of the tides."
12,4,3,Le Mont-Saint-Michel,"Le Mont-Saint-Michel es un pequeño asentamiento histórico situado en una isla mareal frente a la costa de Normandía. Su impresionante abadía medieval se eleva sobre estrechas calles y antiguas casas, mientras el paisaje cambia de forma espectacular con las mareas."
