id,attractionId,languageId,name,description
1,1,1,Monte Titano,"Monte Titano rejser sig over San Marino og er et af landets mest karakteristiske vartegn. Bjerget rummer historiske fæstninger, middelalderlige bymure og smalle gader, og fra toppen er der en imponerende udsigt over det omkringliggende italienske landskab."
2,1,2,Monte Titano,"Monte Titano rises above San Marino and is one of the country's most distinctive landmarks. The mountain features historic fortresses, medieval walls and narrow streets, while its summit offers impressive views across the surrounding Italian landscape."
3,1,3,Monte Titano,"El Monte Titano se eleva sobre San Marino y es uno de los lugares más emblemáticos del país. La montaña alberga fortalezas históricas, murallas medievales y calles estrechas, y desde su cima se disfruta de impresionantes vistas del paisaje italiano."
4,2,1,Cruz de Tejeda,"Cruz de Tejeda ligger højt i bjergene midt på Gran Canaria og er omgivet af øens dramatiske vulkanske landskab. Området er et populært udgangspunkt for vandreture og byder på flotte udsigter over bjergene, dalene og flere af øens karakteristiske klippeformationer."
5,2,2,Cruz de Tejeda,"Cruz de Tejeda is located high in the mountains of central Gran Canaria and is surrounded by the island's dramatic volcanic landscape. The area is a popular starting point for hiking and offers beautiful views of mountains, valleys and distinctive rock formations."
6,2,3,Cruz de Tejeda,"Cruz de Tejeda está situada en las montañas del centro de Gran Canaria y está rodeada por el espectacular paisaje volcánico de la isla. La zona es un popular punto de partida para practicar senderismo y ofrece magníficas vistas de montañas, valles y formaciones rocosas."
7,3,1,Luxembourgs gamle bydel,"Luxembourgs gamle bydel er præget af historiske bygninger, smalle gader og imponerende fæstningsværker. Bydelen ligger højt over floderne Alzette og Pétrusse og byder på flotte udsigter over de dybe dale og de historiske kvarterer omkring centrum."
8,3,2,Luxembourg Old Town,"Luxembourg's Old Town is characterised by historic buildings, narrow streets and impressive fortifications. The district sits high above the Alzette and Pétrusse rivers and offers beautiful views across the deep valleys and historic neighbourhoods surrounding the city centre."
9,3,3,Casco antiguo de Luxemburgo,"El casco antiguo de Luxemburgo se caracteriza por sus edificios históricos, calles estrechas e impresionantes fortificaciones. Está situado sobre los ríos Alzette y Pétrusse y ofrece magníficas vistas de los profundos valles y barrios históricos que rodean el centro."
10,4,1,Mont-Saint-Michel-klosteret,"Mont-Saint-Michel-klosteret ligger spektakulært på toppen af den berømte tidevandsø ud for Normandiets kyst. Det middelalderlige kloster hæver sig over de smalle gader og gamle bygninger og er kendt for sin arkitektur, historie og helt særlige placering mellem land og hav."
11,4,2,Mont-Saint-Michel Abbey,"Mont-Saint-Michel Abbey is spectacularly located at the top of the famous tidal island off the coast of Normandy. The medieval abbey rises above narrow streets and historic buildings and is known for its architecture, history and unique setting between land and sea."
12,4,3,Abadía del Mont-Saint-Michel,"La Abadía del Mont-Saint-Michel está situada de forma espectacular en lo alto de la famosa isla mareal frente a la costa de Normandía. La abadía medieval domina las estrechas calles y edificios históricos y destaca por su arquitectura, historia y singular ubicación entre tierra y mar."
13,5,1,Temple Bar,"Temple Bar er et historisk og livligt kvarter i hjertet af Dublin og et af byens mest kendte områder. De brostensbelagte gader er fyldt med traditionelle pubber, restauranter, musiksteder og kulturelle tilbud, og området er især kendt for sin levende atmosfære."
14,5,2,Temple Bar,"Temple Bar is a historic and lively district in the heart of Dublin and one of the city's best-known areas. Its cobbled streets are filled with traditional pubs, restaurants, music venues and cultural attractions, and the district is especially famous for its vibrant atmosphere."
15,5,3,Temple Bar,"Temple Bar es un barrio histórico y animado situado en el corazón de Dublín y una de las zonas más conocidas de la ciudad. Sus calles adoquinadas están llenas de pubs tradicionales, restaurantes, locales de música y espacios culturales y son famosas por su ambiente."
16,6,1,Game of Thrones Studio Tour,"Game of Thrones Studio Tour i Banbridge giver besøgende mulighed for at komme tæt på produktionen af den populære tv-serie. Her kan man opleve originale kulisser, kostumer, våben og rekvisitter samt få et indblik i de visuelle effekter og det omfattende arbejde bag serien."
17,6,2,Game of Thrones Studio Tour,"The Game of Thrones Studio Tour in Banbridge gives visitors a close look at the production of the popular television series. Visitors can explore original sets, costumes, weapons and props while discovering the visual effects and extensive craftsmanship behind the series."
18,6,3,Game of Thrones Studio Tour,"Game of Thrones Studio Tour en Banbridge permite conocer de cerca la producción de la popular serie de televisión. Los visitantes pueden descubrir decorados, vestuario, armas y objetos originales, además de conocer los efectos visuales y el trabajo realizado detrás de la serie."
19,7,1,Canarias Katedral,"Canarias Katedral ligger ved Plaza de Santa Ana i den historiske bydel Vegueta og er et af Las Palmas de Gran Canarias vigtigste vartegn. Katedralen blev påbegyndt i slutningen af 1400-tallet og kombinerer forskellige arkitektoniske stilarter fra flere historiske perioder."
20,7,2,Canary Islands Cathedral,"The Canary Islands Cathedral is located by Plaza de Santa Ana in the historic Vegueta district and is one of the most important landmarks in Las Palmas de Gran Canaria. Construction began in the late 15th century, and the cathedral combines architectural styles from several historical periods."
21,7,3,Catedral de Canarias,"La Catedral de Canarias está situada junto a la Plaza de Santa Ana en el histórico barrio de Vegueta y es uno de los monumentos más importantes de Las Palmas de Gran Canaria. Su construcción comenzó a finales del siglo XV y combina estilos arquitectónicos de diferentes épocas."
22,8,1,Gardasøen,"Gardasøen er Italiens største sø og ligger mellem Alperne og Posletten i det nordlige Italien. Søen er omgivet af bjerge, vinmarker og charmerende byer og er et populært område til badning, sejlads, cykling og vandreture langs det smukke sølandskab."
23,8,2,Lake Garda,"Lake Garda is Italy's largest lake and is located between the Alps and the Po Valley in northern Italy. The lake is surrounded by mountains, vineyards and charming towns and is a popular destination for swimming, sailing, cycling and hiking through the beautiful lakeside landscape."
24,8,3,Lago de Garda,"El lago de Garda es el lago más grande de Italia y está situado entre los Alpes y la llanura del Po, en el norte del país. Está rodeado de montañas, viñedos y pueblos con encanto y es un destino popular para nadar, navegar, montar en bicicleta y practicar senderismo."
25,9,1,Firenze Katedral,"Firenze Katedral, officielt Santa Maria del Fiore, er et af byens mest berømte vartegn og et hovedværk inden for italiensk renæssancearkitektur. Katedralen er især kendt for Brunelleschis enorme kuppel, den farverige marmorfacade og Giottos karakteristiske klokketårn."
26,9,2,Florence Cathedral,"Florence Cathedral, officially known as Santa Maria del Fiore, is one of the city's most famous landmarks and a masterpiece of Italian Renaissance architecture. The cathedral is especially known for Brunelleschi's enormous dome, its colourful marble façade and Giotto's distinctive bell tower."
27,9,3,Catedral de Florencia,"La Catedral de Florencia, oficialmente Santa Maria del Fiore, es uno de los monumentos más famosos de la ciudad y una obra maestra de la arquitectura renacentista italiana. Destaca especialmente por la enorme cúpula de Brunelleschi, su colorida fachada de mármol y el campanario de Giotto."
28,10,1,Gullfoss,"Gullfoss er et af Islands mest kendte og imponerende vandfald og ligger langs den populære Golden Circle-rute. Vandet fra floden Hvítá falder i to kraftige niveauer ned i en dyb kløft og skaber et dramatisk syn omgivet af det åbne islandske landskab."
29,10,2,Gullfoss,"Gullfoss is one of Iceland's best-known and most impressive waterfalls and is located along the popular Golden Circle route. Water from the Hvítá river plunges in two powerful stages into a deep canyon, creating a dramatic sight surrounded by Iceland's open landscape."
30,10,3,Gullfoss,"Gullfoss es una de las cascadas más conocidas e impresionantes de Islandia y se encuentra en la popular ruta del Círculo Dorado. El agua del río Hvítá cae en dos potentes niveles hacia un profundo cañón creando un espectacular paisaje."
31,11,1,Malbun,"Malbun er Liechtensteins vigtigste bjerg- og ferieområde og ligger højt i Alperne tæt på grænsen til Østrig. Den lille bjerglandsby er omgivet af alpine landskaber og er populær til skiløb om vinteren samt vandreture og naturoplevelser i sommermånederne."
32,11,2,Malbun,"Malbun is Liechtenstein's main mountain and holiday resort and is located high in the Alps near the Austrian border. The small mountain village is surrounded by Alpine scenery and is popular for skiing in winter as well as hiking and outdoor activities during the summer months."
33,11,3,Malbun,"Malbun es la principal zona de montaña y vacaciones de Liechtenstein y está situada en los Alpes cerca de la frontera con Austria. El pequeño pueblo está rodeado de paisajes alpinos y es popular para esquiar en invierno y practicar senderismo y actividades al aire libre durante el verano."
