id,countryId,languageId,name,description
1,1,1,San Marino,"San Marino er en af verdens mindste og ældste republikker og ligger omgivet af Italien. Landet er især kendt for sin velbevarede middelalderlige hovedstad, de tre karakteristiske tårne og den imponerende udsigt fra Monte Titano."
2,1,2,San Marino,"San Marino is one of the world's smallest and oldest republics and is completely surrounded by Italy. The country is especially known for its well-preserved medieval capital, its three iconic towers and the impressive views from Monte Titano."
3,1,3,San Marino,"San Marino es una de las repúblicas más pequeñas y antiguas del mundo y está completamente rodeada por Italia. El país es especialmente conocido por su capital medieval, sus tres torres emblemáticas y las impresionantes vistas desde el Monte Titano."
4,2,1,Spanien,"Spanien er et alsidigt land med historiske byer, solrige kystområder og meget forskellige landskaber. Landet er kendt for sin arkitektur, kunst, levende kultur og et varieret køkken med blandt andet tapas, paella og lokale specialiteter."
5,2,2,Spain,"Spain is a diverse country with historic cities, sunny coastlines and varied landscapes. The country is known for its architecture, art, vibrant culture and rich cuisine, including tapas, paella and a wide range of regional specialties."
6,2,3,España,"España es un país diverso con ciudades históricas, costas soleadas y paisajes muy variados. El país es conocido por su arquitectura, arte, cultura vibrante y rica gastronomía, que incluye tapas, paella y numerosas especialidades regionales."
7,3,1,Luxembourg,"Luxembourg er et af Europas mindste lande og ligger mellem Belgien, Tyskland og Frankrig. Landet er kendt for sine historiske borge, grønne dale og skove samt hovedstaden Luxembourg, hvor moderne europæiske institutioner møder gamle fæstningsværker."
8,3,2,Luxembourg,"Luxembourg is one of Europe's smallest countries and is located between Belgium, Germany and France. It is known for its historic castles, green valleys and forests, as well as its capital, where modern European institutions meet ancient fortifications."
9,3,3,Luxemburgo,"Luxemburgo es uno de los países más pequeños de Europa y está situado entre Bélgica, Alemania y Francia. Es conocido por sus castillos históricos, sus verdes valles y bosques, así como por su capital, donde las instituciones europeas modernas conviven con antiguas fortificaciones."
10,4,1,Frankrig,"Frankrig er et af Europas mest besøgte lande og byder på en stor variation af kultur, historie og natur. Fra Paris og historiske slotte til vinområder, Alperne og Middelhavskysten har landet et stort udvalg af oplevelser og en verdensberømt gastronomi."
11,4,2,France,"France is one of Europe's most visited countries and offers a great variety of culture, history and nature. From Paris and historic castles to wine regions, the Alps and the Mediterranean coast, the country offers many experiences and a world-famous cuisine."
12,4,3,Francia,"Francia es uno de los países más visitados de Europa y ofrece una gran variedad de cultura, historia y naturaleza. Desde París y sus castillos históricos hasta las regiones vinícolas, los Alpes y la costa mediterránea, el país ofrece numerosas experiencias y una gastronomía mundialmente famosa."
13,5,1,Irland,"Irland er kendt for sine frodige grønne landskaber, dramatiske kyster og historiske byer. Landet har en stærk tradition for musik, fortællinger og litteratur og er samtidig kendt for sin hyggelige pubkultur og den imødekommende atmosfære."
14,5,2,Ireland,"Ireland is known for its lush green landscapes, dramatic coastlines and historic cities. The country has a strong tradition of music, storytelling and literature and is also famous for its welcoming atmosphere and lively pub culture."
